ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
452-57-9812|4207266292508177606|Vicki|Cunningham|F|0688 Jones Fields|Alexis|IL|61412|41.0521|-90.5436|1321|Engineer, civil (contracting)|1999-11-06|499086652079|adults_2550_female_rural.json|2b9fc0716ca271c94b285725f65d390e|2005-09-06|09:21:28|1125978688|grocery_pos|341.92|1|fraud_Bogisich Inc|41.347620|-90.962295
452-57-9812|4207266292508177606|Vicki|Cunningham|F|0688 Jones Fields|Alexis|IL|61412|41.0521|-90.5436|1321|Engineer, civil (contracting)|1999-11-06|499086652079|adults_2550_female_rural.json|065c4b63d7dca0b9ccdc24a463c3c24f|2005-09-06|00:15:52|1125945952|grocery_pos|352.19|1|fraud_DuBuque LLC|40.399920|-90.311357
452-57-9812|4207266292508177606|Vicki|Cunningham|F|0688 Jones Fields|Alexis|IL|61412|41.0521|-90.5436|1321|Engineer, civil (contracting)|1999-11-06|499086652079|adults_2550_female_rural.json|be2249d54d0c9b2613a8be50d337de86|2005-09-06|10:18:59|1125982139|shopping_net|344.56|1|fraud_Cormier LLC|41.240351|-89.700023
452-57-9812|4207266292508177606|Vicki|Cunningham|F|0688 Jones Fields|Alexis|IL|61412|41.0521|-90.5436|1321|Engineer, civil (contracting)|1999-11-06|499086652079|adults_2550_female_rural.json|86b7d78d17842f0c4f36ed1c5067c979|2005-09-06|03:42:28|1125958348|misc_net|817.15|1|fraud_McGlynn-Heathcote|40.791340|-89.956756
452-57-9812|4207266292508177606|Vicki|Cunningham|F|0688 Jones Fields|Alexis|IL|61412|41.0521|-90.5436|1321|Engineer, civil (contracting)|1999-11-06|499086652079|adults_2550_female_rural.json|5c1fbbd67f7dec8da97c3f3a6e8fefd1|2005-09-06|02:13:39|1125953019|grocery_pos|700.18|1|fraud_Padberg-Welch|40.205248|-91.045200
452-57-9812|4207266292508177606|Vicki|Cunningham|F|0688 Jones Fields|Alexis|IL|61412|41.0521|-90.5436|1321|Engineer, civil (contracting)|1999-11-06|499086652079|adults_2550_female_rural.json|c89cf19eb8dcdd5c85895d7e3c5d4624|2005-09-06|00:38:53|1125947333|misc_net|1309.97|1|fraud_Kerluke, Kertzmann and Wiza|40.916799|-89.941798
452-57-9812|4207266292508177606|Vicki|Cunningham|F|0688 Jones Fields|Alexis|IL|61412|41.0521|-90.5436|1321|Engineer, civil (contracting)|1999-11-06|499086652079|adults_2550_female_rural.json|8edfd168cd940e3c587ed51482e4fd12|2005-09-06|03:47:01|1125958621|shopping_net|1026.74|1|fraud_Stanton, Jakubowski and Baumbach|40.728093|-91.390016
452-57-9812|4207266292508177606|Vicki|Cunningham|F|0688 Jones Fields|Alexis|IL|61412|41.0521|-90.5436|1321|Engineer, civil (contracting)|1999-11-06|499086652079|adults_2550_female_rural.json|ff99a4f343143790cd095e45cfca3382|2005-09-07|13:50:10|1126081210|health_fitness|769.59|1|fraud_Greenholt Ltd|41.233367|-89.636146
452-57-9812|4207266292508177606|Vicki|Cunningham|F|0688 Jones Fields|Alexis|IL|61412|41.0521|-90.5436|1321|Engineer, civil (contracting)|1999-11-06|499086652079|adults_2550_female_rural.json|4723f7b6dbc29a6d7a16f7a8d0d42c76|2005-09-07|23:28:41|1126115921|personal_care|389.13|1|fraud_Lubowitz, Terry and Stracke|41.517533|-90.484875
452-57-9812|4207266292508177606|Vicki|Cunningham|F|0688 Jones Fields|Alexis|IL|61412|41.0521|-90.5436|1321|Engineer, civil (contracting)|1999-11-06|499086652079|adults_2550_female_rural.json|dd955dcfe2dc27abdf7fe4658ad90aab|2005-09-07|23:01:29|1126114289|kids_pets|17.51|1|fraud_Rau-Robel|40.436204|-91.521336
