ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
371-10-9244|5288398225871391|Katherine|Nolan|F|72867 Angelica Spring Suite 064|White Plains|NY|10605|41.0141|-73.7552|69870|Accountant, chartered certified|1981-12-12|239426407161|adults_2550_female_urban.json|9113fdb0547d5567f09a4fe96294777c|2005-10-27|03:57:59|1130365679|shopping_net|808.41|1|fraud_Medhurst PLC|40.987284|-74.518246
371-10-9244|5288398225871391|Katherine|Nolan|F|72867 Angelica Spring Suite 064|White Plains|NY|10605|41.0141|-73.7552|69870|Accountant, chartered certified|1981-12-12|239426407161|adults_2550_female_urban.json|37d63b396f748f679b52e63ae4525d29|2005-10-27|00:30:15|1130353215|shopping_net|8.45|1|fraud_Romaguera, Cruickshank and Greenholt|41.581052|-74.517632
371-10-9244|5288398225871391|Katherine|Nolan|F|72867 Angelica Spring Suite 064|White Plains|NY|10605|41.0141|-73.7552|69870|Accountant, chartered certified|1981-12-12|239426407161|adults_2550_female_urban.json|00401cac6f708b5946ccaed191137cec|2005-10-28|01:19:58|1130442598|shopping_pos|1061.20|1|fraud_Mohr Inc|40.847416|-74.595973
371-10-9244|5288398225871391|Katherine|Nolan|F|72867 Angelica Spring Suite 064|White Plains|NY|10605|41.0141|-73.7552|69870|Accountant, chartered certified|1981-12-12|239426407161|adults_2550_female_urban.json|e98a09e26edc8dc282f9f0bbf0af6539|2005-10-27|03:49:55|1130365195|shopping_net|1087.84|1|fraud_Stamm-Witting|40.419007|-74.284944
371-10-9244|5288398225871391|Katherine|Nolan|F|72867 Angelica Spring Suite 064|White Plains|NY|10605|41.0141|-73.7552|69870|Accountant, chartered certified|1981-12-12|239426407161|adults_2550_female_urban.json|e7fa6d9d4e3f7098b5631f9ee69a7ab7|2005-10-28|03:34:43|1130450683|entertainment|913.54|1|fraud_Effertz LLC|40.618251|-73.538727
371-10-9244|5288398225871391|Katherine|Nolan|F|72867 Angelica Spring Suite 064|White Plains|NY|10605|41.0141|-73.7552|69870|Accountant, chartered certified|1981-12-12|239426407161|adults_2550_female_urban.json|bc7a6503095105d102e2978dd9a4e340|2005-10-28|00:35:22|1130439922|entertainment|1066.90|1|fraud_Spencer PLC|41.015686|-73.945259
371-10-9244|5288398225871391|Katherine|Nolan|F|72867 Angelica Spring Suite 064|White Plains|NY|10605|41.0141|-73.7552|69870|Accountant, chartered certified|1981-12-12|239426407161|adults_2550_female_urban.json|b6a351fa3960343e044835747f5d2676|2005-10-27|01:02:28|1130355148|misc_net|882.40|1|fraud_Zemlak Group|41.724748|-73.356235
371-10-9244|5288398225871391|Katherine|Nolan|F|72867 Angelica Spring Suite 064|White Plains|NY|10605|41.0141|-73.7552|69870|Accountant, chartered certified|1981-12-12|239426407161|adults_2550_female_urban.json|7bd07eaddd26409b725ba8149beb06c1|2005-10-27|00:19:57|1130352597|shopping_net|387.49|1|fraud_Boyer-Reichert|41.497988|-73.127825
371-10-9244|5288398225871391|Katherine|Nolan|F|72867 Angelica Spring Suite 064|White Plains|NY|10605|41.0141|-73.7552|69870|Accountant, chartered certified|1981-12-12|239426407161|adults_2550_female_urban.json|8799af745027b1dd504660dcad2590cb|2005-10-27|02:48:07|1130361487|misc_pos|466.98|1|fraud_Wiza LLC|41.632180|-74.330404
371-10-9244|5288398225871391|Katherine|Nolan|F|72867 Angelica Spring Suite 064|White Plains|NY|10605|41.0141|-73.7552|69870|Accountant, chartered certified|1981-12-12|239426407161|adults_2550_female_urban.json|7a28269ac2ed87aa91b34c443cfc7e05|2005-10-28|02:58:10|1130448490|food_dining|106.45|1|fraud_Langosh, Wintheiser and Hyatt|41.054380|-74.693508
371-10-9244|5288398225871391|Katherine|Nolan|F|72867 Angelica Spring Suite 064|White Plains|NY|10605|41.0141|-73.7552|69870|Accountant, chartered certified|1981-12-12|239426407161|adults_2550_female_urban.json|179265bf41f2035a9be2bd24e30bcc71|2005-10-28|23:43:38|1130523218|personal_care|260.70|1|fraud_Friesen-Ortiz|40.087963|-73.212189
371-10-9244|5288398225871391|Katherine|Nolan|F|72867 Angelica Spring Suite 064|White Plains|NY|10605|41.0141|-73.7552|69870|Accountant, chartered certified|1981-12-12|239426407161|adults_2550_female_urban.json|82babea5a36a6907c2a9347198a9e880|2005-10-28|23:51:38|1130523698|travel|25.13|1|fraud_Fritsch LLC|40.061147|-73.937076
371-10-9244|5288398225871391|Katherine|Nolan|F|72867 Angelica Spring Suite 064|White Plains|NY|10605|41.0141|-73.7552|69870|Accountant, chartered certified|1981-12-12|239426407161|adults_2550_female_urban.json|76083ba8eda25131c07cb1b1d721207b|2005-10-28|18:12:21|1130503341|home|18.19|1|fraud_Stark-Koss|41.483606|-74.181239
371-10-9244|5288398225871391|Katherine|Nolan|F|72867 Angelica Spring Suite 064|White Plains|NY|10605|41.0141|-73.7552|69870|Accountant, chartered certified|1981-12-12|239426407161|adults_2550_female_urban.json|5527c87469296f0aeeb54dda669d2c8e|2005-10-28|22:30:44|1130518844|travel|8.54|1|fraud_Kilback, Nitzsche and Leffler|41.210710|-73.342492
371-10-9244|5288398225871391|Katherine|Nolan|F|72867 Angelica Spring Suite 064|White Plains|NY|10605|41.0141|-73.7552|69870|Accountant, chartered certified|1981-12-12|239426407161|adults_2550_female_urban.json|eddcb338648db73bde71d568b8f368d2|2005-10-28|23:32:17|1130522537|personal_care|9.57|1|fraud_Becker, Harris and Harvey|40.936170|-73.308644
371-10-9244|5288398225871391|Katherine|Nolan|F|72867 Angelica Spring Suite 064|White Plains|NY|10605|41.0141|-73.7552|69870|Accountant, chartered certified|1981-12-12|239426407161|adults_2550_female_urban.json|c0cd3add8040f0cd5acc69e3656bc7fb|2005-07-21|08:42:51|1121915571|misc_pos|75.35|0|fraud_Bruen-Yost|41.884839|-72.890831
371-10-9244|5288398225871391|Katherine|Nolan|F|72867 Angelica Spring Suite 064|White Plains|NY|10605|41.0141|-73.7552|69870|Accountant, chartered certified|1981-12-12|239426407161|adults_2550_female_urban.json|4b9c655dbc5b32be980847d49151881e|2005-07-19|09:52:22|1121746942|misc_pos|84.78|0|fraud_Buckridge PLC|41.980465|-73.907231
371-10-9244|5288398225871391|Katherine|Nolan|F|72867 Angelica Spring Suite 064|White Plains|NY|10605|41.0141|-73.7552|69870|Accountant, chartered certified|1981-12-12|239426407161|adults_2550_female_urban.json|7dd336f09996499704319038273d125e|2005-07-16|00:45:39|1121454939|misc_pos|87.01|0|fraud_Lehner, Reichert and Mills|41.294331|-72.962540
371-10-9244|5288398225871391|Katherine|Nolan|F|72867 Angelica Spring Suite 064|White Plains|NY|10605|41.0141|-73.7552|69870|Accountant, chartered certified|1981-12-12|239426407161|adults_2550_female_urban.json|5b87aa0e93bf8fdadcedb2c1868676e6|2005-05-18|10:10:20|1116391220|grocery_net|77.17|0|fraud_Dicki Ltd|40.443302|-74.616854
371-10-9244|5288398225871391|Katherine|Nolan|F|72867 Angelica Spring Suite 064|White Plains|NY|10605|41.0141|-73.7552|69870|Accountant, chartered certified|1981-12-12|239426407161|adults_2550_female_urban.json|1a47ebd1c1df7ef51b5b283e7439c9ec|2005-07-05|08:14:55|1120531495|misc_net|88.12|0|fraud_Volkman Ltd|41.494661|-73.785204
371-10-9244|5288398225871391|Katherine|Nolan|F|72867 Angelica Spring Suite 064|White Plains|NY|10605|41.0141|-73.7552|69870|Accountant, chartered certified|1981-12-12|239426407161|adults_2550_female_urban.json|a818f95718ca9a36c9b624483f32270a|2005-05-13|02:18:48|1115930928|grocery_net|66.64|0|fraud_McCullough Group|40.591216|-74.385788
371-10-9244|5288398225871391|Katherine|Nolan|F|72867 Angelica Spring Suite 064|White Plains|NY|10605|41.0141|-73.7552|69870|Accountant, chartered certified|1981-12-12|239426407161|adults_2550_female_urban.json|0b1f5f1292f43b80a8ed960a64752fc7|2005-07-18|00:50:28|1121628028|misc_pos|87.97|0|fraud_Christiansen-Gusikowski|41.069149|-73.367532
371-10-9244|5288398225871391|Katherine|Nolan|F|72867 Angelica Spring Suite 064|White Plains|NY|10605|41.0141|-73.7552|69870|Accountant, chartered certified|1981-12-12|239426407161|adults_2550_female_urban.json|871d9c834068adacf39975bb9b28ef97|2005-07-13|04:04:20|1121207660|misc_pos|74.79|0|fraud_Bruen-Yost|40.342465|-73.891561
371-10-9244|5288398225871391|Katherine|Nolan|F|72867 Angelica Spring Suite 064|White Plains|NY|10605|41.0141|-73.7552|69870|Accountant, chartered certified|1981-12-12|239426407161|adults_2550_female_urban.json|8a7792568c3602a16f6ee5678dd6555f|2005-05-13|11:49:39|1115965179|grocery_net|69.85|0|fraud_Jaskolski-Dibbert|40.221114|-73.240319
371-10-9244|5288398225871391|Katherine|Nolan|F|72867 Angelica Spring Suite 064|White Plains|NY|10605|41.0141|-73.7552|69870|Accountant, chartered certified|1981-12-12|239426407161|adults_2550_female_urban.json|a8d54d467e04df45e068414e42c38bfd|2005-06-10|05:20:02|1118361002|grocery_pos|61.52|0|fraud_Pacocha-O'Reilly|40.539866|-74.516680
371-10-9244|5288398225871391|Katherine|Nolan|F|72867 Angelica Spring Suite 064|White Plains|NY|10605|41.0141|-73.7552|69870|Accountant, chartered certified|1981-12-12|239426407161|adults_2550_female_urban.json|e09f7c519c6033a011d281108a4d1888|2005-05-28|00:32:47|1117220567|grocery_pos|65.16|0|fraud_Auer-Mosciski|41.178363|-73.242074
371-10-9244|5288398225871391|Katherine|Nolan|F|72867 Angelica Spring Suite 064|White Plains|NY|10605|41.0141|-73.7552|69870|Accountant, chartered certified|1981-12-12|239426407161|adults_2550_female_urban.json|5f2a234e41c55ad5f442bb18c84c9d6c|2005-04-24|00:49:01|1114283941|gas_transport|80.10|0|fraud_Bernhard Inc|40.376536|-72.842952
371-10-9244|5288398225871391|Katherine|Nolan|F|72867 Angelica Spring Suite 064|White Plains|NY|10605|41.0141|-73.7552|69870|Accountant, chartered certified|1981-12-12|239426407161|adults_2550_female_urban.json|aa572d7c7ae93be200e242f8b6a287a1|2005-06-15|08:43:29|1118805209|grocery_pos|112.85|0|fraud_Hackett-Lueilwitz|40.468656|-72.849777
371-10-9244|5288398225871391|Katherine|Nolan|F|72867 Angelica Spring Suite 064|White Plains|NY|10605|41.0141|-73.7552|69870|Accountant, chartered certified|1981-12-12|239426407161|adults_2550_female_urban.json|f9ad7e185d04ca88c53797c8844d8f6d|2005-05-23|04:43:51|1116803631|grocery_pos|74.79|0|fraud_Rau and Sons|41.253111|-73.411330
371-10-9244|5288398225871391|Katherine|Nolan|F|72867 Angelica Spring Suite 064|White Plains|NY|10605|41.0141|-73.7552|69870|Accountant, chartered certified|1981-12-12|239426407161|adults_2550_female_urban.json|de1894df4eb7fb30ae0e7e4e7c17a1dc|2005-04-18|03:55:24|1113776724|gas_transport|81.74|0|fraud_Luettgen PLC|40.659360|-73.578295
371-10-9244|5288398225871391|Katherine|Nolan|F|72867 Angelica Spring Suite 064|White Plains|NY|10605|41.0141|-73.7552|69870|Accountant, chartered certified|1981-12-12|239426407161|adults_2550_female_urban.json|e030ee14133444d375b8631506b87de7|2005-06-08|07:35:49|1118196349|grocery_pos|127.11|0|fraud_Rau and Sons|40.667626|-73.712409
371-10-9244|5288398225871391|Katherine|Nolan|F|72867 Angelica Spring Suite 064|White Plains|NY|10605|41.0141|-73.7552|69870|Accountant, chartered certified|1981-12-12|239426407161|adults_2550_female_urban.json|a08cd2f82b1fa5ddf41c41f94271bb5d|2005-07-22|04:40:51|1121987451|misc_pos|84.00|0|fraud_Reynolds-Schinner|40.938728|-74.356020
371-10-9244|5288398225871391|Katherine|Nolan|F|72867 Angelica Spring Suite 064|White Plains|NY|10605|41.0141|-73.7552|69870|Accountant, chartered certified|1981-12-12|239426407161|adults_2550_female_urban.json|10af447046c15d969a0da1c4c32f4552|2005-04-22|11:28:44|1114149524|gas_transport|55.42|0|fraud_Christiansen, Goyette and Schamberger|41.010462|-73.137314
371-10-9244|5288398225871391|Katherine|Nolan|F|72867 Angelica Spring Suite 064|White Plains|NY|10605|41.0141|-73.7552|69870|Accountant, chartered certified|1981-12-12|239426407161|adults_2550_female_urban.json|7cedf70397dbb22c1a6891d5de16b7fc|2005-06-16|05:47:04|1118881024|grocery_pos|78.77|0|fraud_Casper, Hand and Zulauf|41.217888|-72.943219
371-10-9244|5288398225871391|Katherine|Nolan|F|72867 Angelica Spring Suite 064|White Plains|NY|10605|41.0141|-73.7552|69870|Accountant, chartered certified|1981-12-12|239426407161|adults_2550_female_urban.json|1e979f286b43574b6f7de506ae5b1bca|2005-05-22|10:28:47|1116737927|grocery_pos|66.17|0|fraud_Bradtke PLC|40.995799|-74.524954
371-10-9244|5288398225871391|Katherine|Nolan|F|72867 Angelica Spring Suite 064|White Plains|NY|10605|41.0141|-73.7552|69870|Accountant, chartered certified|1981-12-12|239426407161|adults_2550_female_urban.json|2d9ceb6ac766b530997eff19be1e5a03|2005-06-16|05:25:51|1118879751|grocery_pos|78.83|0|fraud_Cole PLC|40.843978|-74.249732
371-10-9244|5288398225871391|Katherine|Nolan|F|72867 Angelica Spring Suite 064|White Plains|NY|10605|41.0141|-73.7552|69870|Accountant, chartered certified|1981-12-12|239426407161|adults_2550_female_urban.json|a0ee7406529b864128751ebf6f47780d|2005-07-22|05:23:02|1121989982|misc_pos|79.96|0|fraud_Towne LLC|41.744431|-73.145999
