ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
015-42-8701|4033542168940|Christopher|Colon|M|7898 Hamilton Spur Apt. 575|Superior|NE|68978|40.0315|-98.0779|2377|Emergency planning/management officer|1994-09-10|445869180665|adults_2550_male_rural.json|1dccb197ba7c55fcecce2dc2748331cd|2005-08-08|03:30:26|1123452026|grocery_net|8.96|1|fraud_Harris, Gusikowski and Heaney|39.744890|-98.694366
015-42-8701|4033542168940|Christopher|Colon|M|7898 Hamilton Spur Apt. 575|Superior|NE|68978|40.0315|-98.0779|2377|Emergency planning/management officer|1994-09-10|445869180665|adults_2550_male_rural.json|89a31e27369ee3e04a120b00738c8f9b|2005-08-08|02:39:21|1123448961|grocery_pos|8.41|1|fraud_Goldner, Kovacek and Abbott|39.211207|-97.197117
015-42-8701|4033542168940|Christopher|Colon|M|7898 Hamilton Spur Apt. 575|Superior|NE|68978|40.0315|-98.0779|2377|Emergency planning/management officer|1994-09-10|445869180665|adults_2550_male_rural.json|a7127398ad3fb3ec2361f63852e7780c|2005-08-08|01:59:54|1123446594|gas_transport|9.18|1|fraud_Sporer Inc|39.327212|-97.264536
015-42-8701|4033542168940|Christopher|Colon|M|7898 Hamilton Spur Apt. 575|Superior|NE|68978|40.0315|-98.0779|2377|Emergency planning/management officer|1994-09-10|445869180665|adults_2550_male_rural.json|878adc40bdbd11a79250d6aada0fd624|2005-08-08|01:10:04|1123443604|gas_transport|317.11|1|fraud_Jenkins, Hauck and Friesen|40.466666|-98.175115
015-42-8701|4033542168940|Christopher|Colon|M|7898 Hamilton Spur Apt. 575|Superior|NE|68978|40.0315|-98.0779|2377|Emergency planning/management officer|1994-09-10|445869180665|adults_2550_male_rural.json|135a72eb2914896e7f3ce904723e4d4f|2005-08-09|22:52:01|1123608121|shopping_net|283.80|1|fraud_Boyer-Reichert|39.296038|-97.783011
015-42-8701|4033542168940|Christopher|Colon|M|7898 Hamilton Spur Apt. 575|Superior|NE|68978|40.0315|-98.0779|2377|Emergency planning/management officer|1994-09-10|445869180665|adults_2550_male_rural.json|8d88bbc9fbfa26f8aca5754c1a9b216f|2005-08-09|23:03:08|1123608788|shopping_net|1053.48|1|fraud_Predovic Inc|39.526220|-97.477421
015-42-8701|4033542168940|Christopher|Colon|M|7898 Hamilton Spur Apt. 575|Superior|NE|68978|40.0315|-98.0779|2377|Emergency planning/management officer|1994-09-10|445869180665|adults_2550_male_rural.json|12c9d63c166f1c39df1b8aa59a8791f1|2005-08-09|13:31:28|1123574488|shopping_net|967.34|1|fraud_Rempel Inc|40.597340|-97.612777
015-42-8701|4033542168940|Christopher|Colon|M|7898 Hamilton Spur Apt. 575|Superior|NE|68978|40.0315|-98.0779|2377|Emergency planning/management officer|1994-09-10|445869180665|adults_2550_male_rural.json|13216b64ca6fb6e79431a6477b8a152c|2005-08-09|15:45:36|1123582536|shopping_net|1095.41|1|fraud_Labadie, Treutel and Bode|40.388246|-99.038514
015-42-8701|4033542168940|Christopher|Colon|M|7898 Hamilton Spur Apt. 575|Superior|NE|68978|40.0315|-98.0779|2377|Emergency planning/management officer|1994-09-10|445869180665|adults_2550_male_rural.json|07e1f8dddf7d25fa2405b29f66e73768|2005-08-08|13:41:37|1123488697|grocery_pos|937.05|1|fraud_Kuhic Inc|40.877194|-98.109655
015-42-8701|4033542168940|Christopher|Colon|M|7898 Hamilton Spur Apt. 575|Superior|NE|68978|40.0315|-98.0779|2377|Emergency planning/management officer|1994-09-10|445869180665|adults_2550_male_rural.json|ed6aae2875ee27c83469a6408f776368|2005-08-09|23:29:18|1123610358|shopping_net|840.57|1|fraud_Altenwerth, Cartwright and Koss|40.645640|-97.437372
015-42-8701|4033542168940|Christopher|Colon|M|7898 Hamilton Spur Apt. 575|Superior|NE|68978|40.0315|-98.0779|2377|Emergency planning/management officer|1994-09-10|445869180665|adults_2550_male_rural.json|eba8673b44f9344472a36385a4eb02af|2005-08-09|23:03:53|1123608833|shopping_pos|766.22|1|fraud_Pfeffer and Sons|40.829056|-98.076976
015-42-8701|4033542168940|Christopher|Colon|M|7898 Hamilton Spur Apt. 575|Superior|NE|68978|40.0315|-98.0779|2377|Emergency planning/management officer|1994-09-10|445869180665|adults_2550_male_rural.json|dd50333863add6d83fadb3616b6bd8a3|2005-07-12|08:57:36|1121138856|misc_pos|77.25|0|fraud_Block Group|40.266100|-98.652328
