ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
263-26-2843|3512779979955279|Barry|Ramos|M|9058 Lance Mission Apt. 054|Southaven|MS|38672|34.9474|-89.9258|46961|Camera operator|1999-12-24|951956593813|adults_2550_male_urban.json|bd7aa3e9cfa96a33d09c65eb28b82a3c|2006-01-10|02:06:07|1136838967|grocery_pos|8.72|1|fraud_Cole PLC|35.568592|-90.784751
263-26-2843|3512779979955279|Barry|Ramos|M|9058 Lance Mission Apt. 054|Southaven|MS|38672|34.9474|-89.9258|46961|Camera operator|1999-12-24|951956593813|adults_2550_male_urban.json|fbe1d55e45bba845c16d0d9d0e2c555a|2006-01-10|00:30:54|1136833254|grocery_pos|294.02|1|fraud_Wolf Inc|34.778337|-89.307392
263-26-2843|3512779979955279|Barry|Ramos|M|9058 Lance Mission Apt. 054|Southaven|MS|38672|34.9474|-89.9258|46961|Camera operator|1999-12-24|951956593813|adults_2550_male_urban.json|703d1fe85cf1cf1c38592081b5ea01e9|2006-01-10|01:15:06|1136835906|misc_net|273.69|1|fraud_Bednar Group|35.187772|-89.442586
263-26-2843|3512779979955279|Barry|Ramos|M|9058 Lance Mission Apt. 054|Southaven|MS|38672|34.9474|-89.9258|46961|Camera operator|1999-12-24|951956593813|adults_2550_male_urban.json|78d3f8c03ec6e1e8322316794516bbd3|2006-01-10|01:49:43|1136837983|gas_transport|881.48|1|fraud_Christiansen, Goyette and Schamberger|34.637990|-90.610662
263-26-2843|3512779979955279|Barry|Ramos|M|9058 Lance Mission Apt. 054|Southaven|MS|38672|34.9474|-89.9258|46961|Camera operator|1999-12-24|951956593813|adults_2550_male_urban.json|01a7b25ac7475c4a55109f5b8992a1b3|2006-01-10|01:33:01|1136836981|misc_net|920.44|1|fraud_Huel Ltd|34.357058|-89.698462
263-26-2843|3512779979955279|Barry|Ramos|M|9058 Lance Mission Apt. 054|Southaven|MS|38672|34.9474|-89.9258|46961|Camera operator|1999-12-24|951956593813|adults_2550_male_urban.json|d7d37a11b4f19d32829d25aae373efd0|2006-01-11|23:01:32|1137000692|shopping_net|940.58|1|fraud_Boyer PLC|35.754435|-89.776733
263-26-2843|3512779979955279|Barry|Ramos|M|9058 Lance Mission Apt. 054|Southaven|MS|38672|34.9474|-89.9258|46961|Camera operator|1999-12-24|951956593813|adults_2550_male_urban.json|bf99ad349910f57d4449b4bf6a38938f|2006-01-11|23:16:47|1137001607|shopping_net|906.39|1|fraud_Altenwerth, Cartwright and Koss|35.808026|-90.381267
263-26-2843|3512779979955279|Barry|Ramos|M|9058 Lance Mission Apt. 054|Southaven|MS|38672|34.9474|-89.9258|46961|Camera operator|1999-12-24|951956593813|adults_2550_male_urban.json|022fe18b783d25ba89cd2cfe791bc1f0|2006-01-11|22:07:00|1136997420|shopping_net|1020.59|1|fraud_Fisher Inc|35.091405|-90.871760
263-26-2843|3512779979955279|Barry|Ramos|M|9058 Lance Mission Apt. 054|Southaven|MS|38672|34.9474|-89.9258|46961|Camera operator|1999-12-24|951956593813|adults_2550_male_urban.json|d340dd940372237fe262e8b6f4b4c276|2006-01-11|23:25:18|1137002118|kids_pets|923.03|1|fraud_Larkin Ltd|34.979996|-90.259823
263-26-2843|3512779979955279|Barry|Ramos|M|9058 Lance Mission Apt. 054|Southaven|MS|38672|34.9474|-89.9258|46961|Camera operator|1999-12-24|951956593813|adults_2550_male_urban.json|db0b0925f1d64d1ec8f07e5a76421306|2006-01-11|22:57:38|1137000458|shopping_net|940.85|1|fraud_Fisher-Schowalter|35.133326|-89.196720
263-26-2843|3512779979955279|Barry|Ramos|M|9058 Lance Mission Apt. 054|Southaven|MS|38672|34.9474|-89.9258|46961|Camera operator|1999-12-24|951956593813|adults_2550_male_urban.json|110ad181c7699514b875045412c21041|2006-01-11|23:48:45|1137003525|shopping_net|19.36|1|fraud_Kassulke PLC|35.351366|-89.958456
263-26-2843|3512779979955279|Barry|Ramos|M|9058 Lance Mission Apt. 054|Southaven|MS|38672|34.9474|-89.9258|46961|Camera operator|1999-12-24|951956593813|adults_2550_male_urban.json|6ff540afc4b99b23cc64a366de9bca88|2005-06-01|03:30:00|1117576800|grocery_net|73.34|0|fraud_Shields Inc|34.665988|-89.097560
263-26-2843|3512779979955279|Barry|Ramos|M|9058 Lance Mission Apt. 054|Southaven|MS|38672|34.9474|-89.9258|46961|Camera operator|1999-12-24|951956593813|adults_2550_male_urban.json|f817c5112bab5a704db6c8bba1a3a3f4|2005-04-30|02:44:51|1114809291|gas_transport|65.59|0|fraud_Robel, Cummerata and Prosacco|35.903241|-90.740873
263-26-2843|3512779979955279|Barry|Ramos|M|9058 Lance Mission Apt. 054|Southaven|MS|38672|34.9474|-89.9258|46961|Camera operator|1999-12-24|951956593813|adults_2550_male_urban.json|9d268bd3fa5afa82ce6fcb65a90859ee|2005-07-19|01:12:33|1121715753|misc_net|69.03|0|fraud_Hamill-Daugherty|35.295156|-89.484647
263-26-2843|3512779979955279|Barry|Ramos|M|9058 Lance Mission Apt. 054|Southaven|MS|38672|34.9474|-89.9258|46961|Camera operator|1999-12-24|951956593813|adults_2550_male_urban.json|3f3326149d807123eb1108e26f73420f|2005-05-10|11:58:57|1115706537|gas_transport|70.91|0|fraud_Bernhard Inc|34.559174|-90.196587
263-26-2843|3512779979955279|Barry|Ramos|M|9058 Lance Mission Apt. 054|Southaven|MS|38672|34.9474|-89.9258|46961|Camera operator|1999-12-24|951956593813|adults_2550_male_urban.json|2759f2e8fbbd4444f481fca21e72c094|2005-05-28|00:18:39|1117219719|grocery_net|88.28|0|fraud_Kutch-Hegmann|35.880834|-89.057476
263-26-2843|3512779979955279|Barry|Ramos|M|9058 Lance Mission Apt. 054|Southaven|MS|38672|34.9474|-89.9258|46961|Camera operator|1999-12-24|951956593813|adults_2550_male_urban.json|8b59d55da47d30585ef55573a1aa0b14|2005-06-16|08:08:48|1118889528|grocery_pos|68.46|0|fraud_Doyle Ltd|35.634227|-90.086163
263-26-2843|3512779979955279|Barry|Ramos|M|9058 Lance Mission Apt. 054|Southaven|MS|38672|34.9474|-89.9258|46961|Camera operator|1999-12-24|951956593813|adults_2550_male_urban.json|d4e43efdf23ae89e403039c538986987|2005-04-17|11:37:12|1113718032|gas_transport|70.58|0|fraud_Erdman-Kertzmann|34.692506|-89.550207
263-26-2843|3512779979955279|Barry|Ramos|M|9058 Lance Mission Apt. 054|Southaven|MS|38672|34.9474|-89.9258|46961|Camera operator|1999-12-24|951956593813|adults_2550_male_urban.json|47c568d47762f66d9ce9c8f92507e4fb|2005-04-18|07:37:24|1113790044|gas_transport|68.17|0|fraud_Berge LLC|35.791012|-89.064892
263-26-2843|3512779979955279|Barry|Ramos|M|9058 Lance Mission Apt. 054|Southaven|MS|38672|34.9474|-89.9258|46961|Camera operator|1999-12-24|951956593813|adults_2550_male_urban.json|857ad169bbaffe4687e0ce6e34fed3dd|2005-04-14|02:31:56|1113426116|gas_transport|59.59|0|fraud_Connelly, Reichert and Fritsch|34.600878|-90.344068
263-26-2843|3512779979955279|Barry|Ramos|M|9058 Lance Mission Apt. 054|Southaven|MS|38672|34.9474|-89.9258|46961|Camera operator|1999-12-24|951956593813|adults_2550_male_urban.json|7ebb5227e2d652e2d578149f4268daec|2005-07-12|00:32:49|1121108569|grocery_pos|88.34|0|fraud_Heller, Gutmann and Zieme|35.062518|-89.955764
263-26-2843|3512779979955279|Barry|Ramos|M|9058 Lance Mission Apt. 054|Southaven|MS|38672|34.9474|-89.9258|46961|Camera operator|1999-12-24|951956593813|adults_2550_male_urban.json|5dd5d3a404f2f8982b2198cf0cf7741d|2005-06-17|07:52:13|1118974933|grocery_pos|78.62|0|fraud_McDermott-Weimann|35.587311|-88.942938
263-26-2843|3512779979955279|Barry|Ramos|M|9058 Lance Mission Apt. 054|Southaven|MS|38672|34.9474|-89.9258|46961|Camera operator|1999-12-24|951956593813|adults_2550_male_urban.json|8bc63f4b365e71bd341f8eb295d4fc40|2005-04-15|08:00:43|1113532243|gas_transport|58.71|0|fraud_Raynor, Feest and Miller|34.949737|-89.944899
263-26-2843|3512779979955279|Barry|Ramos|M|9058 Lance Mission Apt. 054|Southaven|MS|38672|34.9474|-89.9258|46961|Camera operator|1999-12-24|951956593813|adults_2550_male_urban.json|29994d3278b67224639ce58b3b9e0a38|2005-05-07|09:32:44|1115438564|gas_transport|71.67|0|fraud_Tillman, Dickinson and Labadie|34.052027|-89.852427
263-26-2843|3512779979955279|Barry|Ramos|M|9058 Lance Mission Apt. 054|Southaven|MS|38672|34.9474|-89.9258|46961|Camera operator|1999-12-24|951956593813|adults_2550_male_urban.json|63784716ee3439dd866125408370d9e0|2005-07-02|08:40:48|1120273848|grocery_pos|61.06|0|fraud_Kilback LLC|34.793160|-89.457732
263-26-2843|3512779979955279|Barry|Ramos|M|9058 Lance Mission Apt. 054|Southaven|MS|38672|34.9474|-89.9258|46961|Camera operator|1999-12-24|951956593813|adults_2550_male_urban.json|4e2dcad46b6d0592dad1fb4116a21573|2005-07-04|08:59:57|1120447797|grocery_pos|45.66|0|fraud_Doyle Ltd|34.317367|-90.007346
263-26-2843|3512779979955279|Barry|Ramos|M|9058 Lance Mission Apt. 054|Southaven|MS|38672|34.9474|-89.9258|46961|Camera operator|1999-12-24|951956593813|adults_2550_male_urban.json|0ea59327a7740584cdc08e382d08c789|2005-05-19|01:36:22|1116446782|gas_transport|92.89|0|fraud_Huels-Hahn|35.886271|-89.572737
263-26-2843|3512779979955279|Barry|Ramos|M|9058 Lance Mission Apt. 054|Southaven|MS|38672|34.9474|-89.9258|46961|Camera operator|1999-12-24|951956593813|adults_2550_male_urban.json|dc5048e1ea0410cc463aceb0b18951f0|2005-06-05|05:41:52|1117930312|grocery_net|69.38|0|fraud_Kling-Grant|35.866196|-89.227277
263-26-2843|3512779979955279|Barry|Ramos|M|9058 Lance Mission Apt. 054|Southaven|MS|38672|34.9474|-89.9258|46961|Camera operator|1999-12-24|951956593813|adults_2550_male_urban.json|cf93fceff7365988798349081715da46|2005-05-07|04:13:22|1115419402|gas_transport|57.41|0|fraud_Prohaska-Murray|34.118771|-89.812968
263-26-2843|3512779979955279|Barry|Ramos|M|9058 Lance Mission Apt. 054|Southaven|MS|38672|34.9474|-89.9258|46961|Camera operator|1999-12-24|951956593813|adults_2550_male_urban.json|f420455805e7b092fcf17d6e1f0ce20e|2005-06-20|02:49:54|1119215994|grocery_pos|71.82|0|fraud_Bauch-Raynor|35.376803|-89.131131
263-26-2843|3512779979955279|Barry|Ramos|M|9058 Lance Mission Apt. 054|Southaven|MS|38672|34.9474|-89.9258|46961|Camera operator|1999-12-24|951956593813|adults_2550_male_urban.json|1401da74fb6b2cd4eb70b04daa0bee5e|2005-07-16|01:00:35|1121455835|misc_net|47.32|0|fraud_Moore, Dibbert and Koepp|35.300833|-89.372035
263-26-2843|3512779979955279|Barry|Ramos|M|9058 Lance Mission Apt. 054|Southaven|MS|38672|34.9474|-89.9258|46961|Camera operator|1999-12-24|951956593813|adults_2550_male_urban.json|78452837b965afbd69bedc5fe67a8f16|2005-05-05|03:25:59|1115243759|gas_transport|86.00|0|fraud_Kling Inc|35.096319|-88.954414
263-26-2843|3512779979955279|Barry|Ramos|M|9058 Lance Mission Apt. 054|Southaven|MS|38672|34.9474|-89.9258|46961|Camera operator|1999-12-24|951956593813|adults_2550_male_urban.json|99d7e48153f6ff9826e2df2bb67b4f0a|2005-07-09|02:33:45|1120856625|grocery_pos|95.36|0|fraud_Osinski, Ledner and Leuschke|34.105179|-89.720960
263-26-2843|3512779979955279|Barry|Ramos|M|9058 Lance Mission Apt. 054|Southaven|MS|38672|34.9474|-89.9258|46961|Camera operator|1999-12-24|951956593813|adults_2550_male_urban.json|3c625c18218ca95fe242291d6a250554|2005-04-15|08:30:21|1113534021|gas_transport|63.79|0|fraud_Heller-Langosh|34.892401|-89.897144
263-26-2843|3512779979955279|Barry|Ramos|M|9058 Lance Mission Apt. 054|Southaven|MS|38672|34.9474|-89.9258|46961|Camera operator|1999-12-24|951956593813|adults_2550_male_urban.json|e270f67182b9c10f0f2d117b7f2a39c8|2005-07-01|00:16:06|1120157166|grocery_pos|69.79|0|fraud_Bradtke PLC|35.287178|-90.506409
263-26-2843|3512779979955279|Barry|Ramos|M|9058 Lance Mission Apt. 054|Southaven|MS|38672|34.9474|-89.9258|46961|Camera operator|1999-12-24|951956593813|adults_2550_male_urban.json|59d28d8c27e91d231eaf73627d6e4e84|2005-06-25|04:40:39|1119654639|grocery_pos|56.60|0|fraud_Schamberger-O'Keefe|33.959451|-90.825377
263-26-2843|3512779979955279|Barry|Ramos|M|9058 Lance Mission Apt. 054|Southaven|MS|38672|34.9474|-89.9258|46961|Camera operator|1999-12-24|951956593813|adults_2550_male_urban.json|b69f905a082941acadf65a5a95006fac|2005-06-05|07:56:42|1117938402|grocery_net|92.97|0|fraud_Towne, Walker and Borer|34.481806|-90.387536
263-26-2843|3512779979955279|Barry|Ramos|M|9058 Lance Mission Apt. 054|Southaven|MS|38672|34.9474|-89.9258|46961|Camera operator|1999-12-24|951956593813|adults_2550_male_urban.json|b9282ba73a3e44aa05578db07964c9b1|2005-05-13|05:40:01|1115943001|gas_transport|77.91|0|fraud_Cummings LLC|34.938990|-90.196587
263-26-2843|3512779979955279|Barry|Ramos|M|9058 Lance Mission Apt. 054|Southaven|MS|38672|34.9474|-89.9258|46961|Camera operator|1999-12-24|951956593813|adults_2550_male_urban.json|f3cf5260abda8b4ca959645a6f1c87cd|2005-06-18|06:29:25|1119056365|grocery_pos|78.19|0|fraud_Kovacek, Dibbert and Ondricka|34.306145|-90.339214
263-26-2843|3512779979955279|Barry|Ramos|M|9058 Lance Mission Apt. 054|Southaven|MS|38672|34.9474|-89.9258|46961|Camera operator|1999-12-24|951956593813|adults_2550_male_urban.json|3d12e88a615b0cb758d281124d868ebf|2005-07-14|09:05:25|1121312125|misc_net|89.05|0|fraud_Brown PLC|35.690142|-89.913490
263-26-2843|3512779979955279|Barry|Ramos|M|9058 Lance Mission Apt. 054|Southaven|MS|38672|34.9474|-89.9258|46961|Camera operator|1999-12-24|951956593813|adults_2550_male_urban.json|07ac3c0b8b4b0a163b6198c96d525e17|2005-07-19|09:11:24|1121744484|misc_net|78.48|0|fraud_Moore, Dibbert and Koepp|34.437600|-89.519471
263-26-2843|3512779979955279|Barry|Ramos|M|9058 Lance Mission Apt. 054|Southaven|MS|38672|34.9474|-89.9258|46961|Camera operator|1999-12-24|951956593813|adults_2550_male_urban.json|1bcb1d1a23d2466a46256b9a1a78d04a|2005-07-22|11:33:00|1122012180|misc_net|86.59|0|fraud_Kerluke, Considine and Macejkovic|35.190237|-90.437117
263-26-2843|3512779979955279|Barry|Ramos|M|9058 Lance Mission Apt. 054|Southaven|MS|38672|34.9474|-89.9258|46961|Camera operator|1999-12-24|951956593813|adults_2550_male_urban.json|cc6cc63aff69e42ab6f4c893e4fad312|2005-06-11|11:03:42|1118468022|grocery_pos|75.54|0|fraud_Koepp-Parker|35.288001|-89.866481
263-26-2843|3512779979955279|Barry|Ramos|M|9058 Lance Mission Apt. 054|Southaven|MS|38672|34.9474|-89.9258|46961|Camera operator|1999-12-24|951956593813|adults_2550_male_urban.json|d78d5e52538364e0fcb3f49f2dcca6d3|2005-05-27|02:35:57|1117141557|grocery_net|91.49|0|fraud_Stokes, Christiansen and Sipes|34.354224|-89.626141
263-26-2843|3512779979955279|Barry|Ramos|M|9058 Lance Mission Apt. 054|Southaven|MS|38672|34.9474|-89.9258|46961|Camera operator|1999-12-24|951956593813|adults_2550_male_urban.json|794eb34ff89e746cfa9c91c44a3286ef|2005-07-12|06:37:40|1121130460|grocery_pos|108.04|0|fraud_Schumm, Bauch and Ondricka|35.381484|-89.676334
263-26-2843|3512779979955279|Barry|Ramos|M|9058 Lance Mission Apt. 054|Southaven|MS|38672|34.9474|-89.9258|46961|Camera operator|1999-12-24|951956593813|adults_2550_male_urban.json|72d3eeff3b8a56a30814a2d418715ef9|2005-06-25|11:39:55|1119679795|grocery_pos|82.73|0|fraud_Padberg-Welch|34.046780|-90.132973
263-26-2843|3512779979955279|Barry|Ramos|M|9058 Lance Mission Apt. 054|Southaven|MS|38672|34.9474|-89.9258|46961|Camera operator|1999-12-24|951956593813|adults_2550_male_urban.json|5ec03f8c25638b529c76b74aaa647229|2005-06-28|00:17:25|1119898045|grocery_pos|93.24|0|fraud_McDermott-Weimann|34.111609|-89.737248
263-26-2843|3512779979955279|Barry|Ramos|M|9058 Lance Mission Apt. 054|Southaven|MS|38672|34.9474|-89.9258|46961|Camera operator|1999-12-24|951956593813|adults_2550_male_urban.json|683e06726b2646c20bda341de95661bc|2005-06-10|09:10:52|1118374852|grocery_net|73.65|0|fraud_Rempel PLC|34.840599|-89.976401
263-26-2843|3512779979955279|Barry|Ramos|M|9058 Lance Mission Apt. 054|Southaven|MS|38672|34.9474|-89.9258|46961|Camera operator|1999-12-24|951956593813|adults_2550_male_urban.json|3e72089c0f65e3937fe32261606bb96a|2005-05-07|10:14:58|1115441098|gas_transport|72.37|0|fraud_Mraz-Herzog|34.385753|-89.415619
263-26-2843|3512779979955279|Barry|Ramos|M|9058 Lance Mission Apt. 054|Southaven|MS|38672|34.9474|-89.9258|46961|Camera operator|1999-12-24|951956593813|adults_2550_male_urban.json|ff217b633776f7ae9360f60567ee7ebb|2005-05-14|08:30:54|1116039654|gas_transport|73.43|0|fraud_Christiansen, Goyette and Schamberger|35.566791|-89.794777
263-26-2843|3512779979955279|Barry|Ramos|M|9058 Lance Mission Apt. 054|Southaven|MS|38672|34.9474|-89.9258|46961|Camera operator|1999-12-24|951956593813|adults_2550_male_urban.json|036963956c7a5d43481784fb1259f339|2005-07-09|03:14:40|1120859080|grocery_pos|74.00|0|fraud_Koepp-Parker|34.982635|-89.954513
263-26-2843|3512779979955279|Barry|Ramos|M|9058 Lance Mission Apt. 054|Southaven|MS|38672|34.9474|-89.9258|46961|Camera operator|1999-12-24|951956593813|adults_2550_male_urban.json|ab7a586e2eeaa039d7e673f012eb4678|2005-06-10|06:31:08|1118365268|grocery_pos|61.55|0|fraud_Koepp-Witting|35.476028|-90.281177
