ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
240-69-3919|4359774688623924075|Shelly|Spencer|F|814 Kathryn Groves|Fenelton|PA|16034|40.8555|-79.7372|2054|Production assistant, television|1961-04-11|566528976346|adults_50up_female_rural.json|ff60a016ffc84ac65bca109e6047d845|2005-09-21|01:05:39|1127244939|grocery_net|13.75|1|fraud_Smitham-Schiller|40.608649|-78.884660
240-69-3919|4359774688623924075|Shelly|Spencer|F|814 Kathryn Groves|Fenelton|PA|16034|40.8555|-79.7372|2054|Production assistant, television|1961-04-11|566528976346|adults_50up_female_rural.json|23b02d9379a968fad405d35d3a877999|2005-09-22|23:54:44|1127413484|shopping_net|336.51|1|fraud_Kerluke-Abshire|40.126461|-80.403292
240-69-3919|4359774688623924075|Shelly|Spencer|F|814 Kathryn Groves|Fenelton|PA|16034|40.8555|-79.7372|2054|Production assistant, television|1961-04-11|566528976346|adults_50up_female_rural.json|6448ded19ddf3f7126490aeec280a783|2005-09-22|23:10:39|1127410839|shopping_net|296.87|1|fraud_Lemke-Gutmann|41.179884|-80.193821
240-69-3919|4359774688623924075|Shelly|Spencer|F|814 Kathryn Groves|Fenelton|PA|16034|40.8555|-79.7372|2054|Production assistant, television|1961-04-11|566528976346|adults_50up_female_rural.json|16561779379048bc8a81fdb7ce23a9a9|2005-09-21|23:22:27|1127325147|misc_net|805.86|1|fraud_Zemlak Group|40.609231|-80.148235
240-69-3919|4359774688623924075|Shelly|Spencer|F|814 Kathryn Groves|Fenelton|PA|16034|40.8555|-79.7372|2054|Production assistant, television|1961-04-11|566528976346|adults_50up_female_rural.json|9debb12f5b5fef02ae69743fce678cc2|2005-09-22|23:12:58|1127410978|shopping_pos|888.28|1|fraud_Dooley Inc|41.503970|-80.291676
240-69-3919|4359774688623924075|Shelly|Spencer|F|814 Kathryn Groves|Fenelton|PA|16034|40.8555|-79.7372|2054|Production assistant, television|1961-04-11|566528976346|adults_50up_female_rural.json|744dca74f0460edf6326536198fa071b|2005-09-22|23:26:33|1127411793|shopping_pos|1150.33|1|fraud_Morissette PLC|40.391166|-78.862841
240-69-3919|4359774688623924075|Shelly|Spencer|F|814 Kathryn Groves|Fenelton|PA|16034|40.8555|-79.7372|2054|Production assistant, television|1961-04-11|566528976346|adults_50up_female_rural.json|db33f520a8a85ede9af8ae0adaffaa1e|2005-09-21|22:13:19|1127320999|grocery_pos|778.28|1|fraud_McDermott-Weimann|41.245388|-80.450700
240-69-3919|4359774688623924075|Shelly|Spencer|F|814 Kathryn Groves|Fenelton|PA|16034|40.8555|-79.7372|2054|Production assistant, television|1961-04-11|566528976346|adults_50up_female_rural.json|4fab321bf8a1861d7314e7f03220d478|2005-09-21|20:22:12|1127314332|grocery_pos|889.79|1|fraud_Koepp-Parker|41.319794|-78.867747
240-69-3919|4359774688623924075|Shelly|Spencer|F|814 Kathryn Groves|Fenelton|PA|16034|40.8555|-79.7372|2054|Production assistant, television|1961-04-11|566528976346|adults_50up_female_rural.json|4d53c7e9aa8aab03ea87de8187033362|2005-05-01|02:50:34|1114896034|gas_transport|48.50|0|fraud_Robel, Cummerata and Prosacco|41.255161|-79.809045
240-69-3919|4359774688623924075|Shelly|Spencer|F|814 Kathryn Groves|Fenelton|PA|16034|40.8555|-79.7372|2054|Production assistant, television|1961-04-11|566528976346|adults_50up_female_rural.json|53e910462447c71dac17059b08968ada|2005-08-21|03:57:37|1124576857|shopping_net|42.47|0|fraud_Zboncak, Rowe and Murazik|40.646818|-80.430141
