ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
288-55-6404|347523328293025|Alan|Rivera|M|30303 Jon Mountain|Dundee|MS|38626|34.5357|-90.3693|1353|Prison officer|1932-09-26|803449743035|adults_50up_male_rural.json|338d6115a072147b1b32e8cabd77faeb|2006-03-15|03:27:23|1142373443|gas_transport|24.45|1|fraud_Reilly, Heaney and Cole|34.965260|-90.429050
288-55-6404|347523328293025|Alan|Rivera|M|30303 Jon Mountain|Dundee|MS|38626|34.5357|-90.3693|1353|Prison officer|1932-09-26|803449743035|adults_50up_male_rural.json|b98d9f4a6b925677b84edd9a412bca20|2006-03-15|03:15:13|1142372713|gas_transport|20.72|1|fraud_Kuvalis Ltd|34.861071|-90.446829
288-55-6404|347523328293025|Alan|Rivera|M|30303 Jon Mountain|Dundee|MS|38626|34.5357|-90.3693|1353|Prison officer|1932-09-26|803449743035|adults_50up_male_rural.json|276af769a9ca25200e8754ea7c7c58ee|2006-03-15|01:36:40|1142366800|grocery_pos|303.29|1|fraud_Kiehn Inc|34.110804|-90.595018
288-55-6404|347523328293025|Alan|Rivera|M|30303 Jon Mountain|Dundee|MS|38626|34.5357|-90.3693|1353|Prison officer|1932-09-26|803449743035|adults_50up_male_rural.json|f790b64d19dd3cbf6c31081e52d595e3|2006-03-15|22:56:14|1142443574|grocery_pos|324.68|1|fraud_Goldner, Kovacek and Abbott|34.825595|-90.117355
288-55-6404|347523328293025|Alan|Rivera|M|30303 Jon Mountain|Dundee|MS|38626|34.5357|-90.3693|1353|Prison officer|1932-09-26|803449743035|adults_50up_male_rural.json|37837a089783e0e667b4a91b4aa8f826|2006-03-16|22:11:43|1142527303|shopping_net|937.67|1|fraud_Boyer PLC|33.796467|-91.152030
288-55-6404|347523328293025|Alan|Rivera|M|30303 Jon Mountain|Dundee|MS|38626|34.5357|-90.3693|1353|Prison officer|1932-09-26|803449743035|adults_50up_male_rural.json|3d1cd36aa19a92b6935b33fd71dd098b|2006-03-16|23:34:46|1142532286|entertainment|706.18|1|fraud_Abshire PLC|34.881008|-89.700358
288-55-6404|347523328293025|Alan|Rivera|M|30303 Jon Mountain|Dundee|MS|38626|34.5357|-90.3693|1353|Prison officer|1932-09-26|803449743035|adults_50up_male_rural.json|5b78de65032169218cf96534b5800835|2006-03-16|23:06:15|1142530575|shopping_pos|921.69|1|fraud_Metz-Boehm|33.878366|-91.281626
288-55-6404|347523328293025|Alan|Rivera|M|30303 Jon Mountain|Dundee|MS|38626|34.5357|-90.3693|1353|Prison officer|1932-09-26|803449743035|adults_50up_male_rural.json|dd8beb6adad128551e369adaec76adc8|2006-03-15|21:12:32|1142437352|misc_net|967.05|1|fraud_Rodriguez, Yost and Jenkins|35.384709|-90.062302
288-55-6404|347523328293025|Alan|Rivera|M|30303 Jon Mountain|Dundee|MS|38626|34.5357|-90.3693|1353|Prison officer|1932-09-26|803449743035|adults_50up_male_rural.json|479c24c87796aa9dfadd6714fc5c1d5b|2006-03-15|22:57:12|1142443632|misc_net|965.83|1|fraud_Flatley-Durgan|35.274396|-90.065910
288-55-6404|347523328293025|Alan|Rivera|M|30303 Jon Mountain|Dundee|MS|38626|34.5357|-90.3693|1353|Prison officer|1932-09-26|803449743035|adults_50up_male_rural.json|74f399dd5f908233f03741dbc75d12bf|2006-03-16|22:43:17|1142529197|travel|736.95|1|fraud_Tillman LLC|33.980359|-90.253188
288-55-6404|347523328293025|Alan|Rivera|M|30303 Jon Mountain|Dundee|MS|38626|34.5357|-90.3693|1353|Prison officer|1932-09-26|803449743035|adults_50up_male_rural.json|6b6b92955beec73c7bbd742a57a53ea6|2006-03-16|17:25:59|1142510159|shopping_net|708.53|1|fraud_Lemke-Gutmann|35.511523|-89.891235
288-55-6404|347523328293025|Alan|Rivera|M|30303 Jon Mountain|Dundee|MS|38626|34.5357|-90.3693|1353|Prison officer|1932-09-26|803449743035|adults_50up_male_rural.json|7ae3b54f28d332bf944eb252e86e5298|2006-03-16|22:39:45|1142528985|food_dining|572.10|1|fraud_Kihn-Schuster|33.837744|-91.046709
288-55-6404|347523328293025|Alan|Rivera|M|30303 Jon Mountain|Dundee|MS|38626|34.5357|-90.3693|1353|Prison officer|1932-09-26|803449743035|adults_50up_male_rural.json|cc08f9b8a2ca2fd35192681dbe6a303b|2006-03-16|22:36:42|1142528802|shopping_pos|133.02|1|fraud_Swaniawski, Lowe and Robel|34.855850|-89.828538
288-55-6404|347523328293025|Alan|Rivera|M|30303 Jon Mountain|Dundee|MS|38626|34.5357|-90.3693|1353|Prison officer|1932-09-26|803449743035|adults_50up_male_rural.json|7295f8d11a5ade687021194708d421ba|2006-03-16|22:21:56|1142527916|personal_care|49.99|1|fraud_Nienow, Barrows and Romaguera|35.331478|-91.065032
288-55-6404|347523328293025|Alan|Rivera|M|30303 Jon Mountain|Dundee|MS|38626|34.5357|-90.3693|1353|Prison officer|1932-09-26|803449743035|adults_50up_male_rural.json|227e213fc3183843bd37f879a5a63102|2006-03-16|13:59:04|1142497744|misc_net|8.41|1|fraud_Nader-Heller|34.595926|-90.549426
