ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
320-74-6150|6011193149190586|Jeffrey|Wood|M|67165 Zimmerman Mews Apt. 849|Bethel|VT|05032|43.8195|-72.6528|2664|Solicitor|1967-11-15|531608037091|adults_50up_male_urban.json|e3e9b399ccb0917815f29b217a50825c|2005-11-13|06:43:24|1131844404|grocery_pos|11.62|1|fraud_McDermott-Weimann|43.354724|-72.175245
320-74-6150|6011193149190586|Jeffrey|Wood|M|67165 Zimmerman Mews Apt. 849|Bethel|VT|05032|43.8195|-72.6528|2664|Solicitor|1967-11-15|531608037091|adults_50up_male_urban.json|2e9c5704b917c5b203cb13c6486fece8|2005-11-13|00:43:04|1131822784|grocery_pos|312.83|1|fraud_Koepp-Parker|44.757414|-72.063432
320-74-6150|6011193149190586|Jeffrey|Wood|M|67165 Zimmerman Mews Apt. 849|Bethel|VT|05032|43.8195|-72.6528|2664|Solicitor|1967-11-15|531608037091|adults_50up_male_urban.json|dfd7c918d34819987e78abd1a5c1d7d4|2005-11-13|01:42:42|1131826362|gas_transport|309.54|1|fraud_Bins-Rice|43.151256|-71.692615
320-74-6150|6011193149190586|Jeffrey|Wood|M|67165 Zimmerman Mews Apt. 849|Bethel|VT|05032|43.8195|-72.6528|2664|Solicitor|1967-11-15|531608037091|adults_50up_male_urban.json|f9d97186f6c318defec5d9ba898b8f26|2005-11-13|02:00:29|1131827429|grocery_pos|258.17|1|fraud_Kilback LLC|44.197772|-71.847846
320-74-6150|6011193149190586|Jeffrey|Wood|M|67165 Zimmerman Mews Apt. 849|Bethel|VT|05032|43.8195|-72.6528|2664|Solicitor|1967-11-15|531608037091|adults_50up_male_urban.json|ce8b70acd48b92ac74ac0c12d4d6dd98|2005-11-13|23:58:37|1131906517|grocery_pos|294.37|1|fraud_Stracke-Lemke|43.910590|-72.626072
320-74-6150|6011193149190586|Jeffrey|Wood|M|67165 Zimmerman Mews Apt. 849|Bethel|VT|05032|43.8195|-72.6528|2664|Solicitor|1967-11-15|531608037091|adults_50up_male_urban.json|bd9f61f05043977d1a4c17645c76c085|2005-11-14|23:31:30|1131991290|personal_care|882.64|1|fraud_Gottlieb-Hansen|43.202870|-71.983169
320-74-6150|6011193149190586|Jeffrey|Wood|M|67165 Zimmerman Mews Apt. 849|Bethel|VT|05032|43.8195|-72.6528|2664|Solicitor|1967-11-15|531608037091|adults_50up_male_urban.json|4d62f6897c9f02f78ce04028de7704ff|2005-11-14|22:45:54|1131988554|shopping_net|869.58|1|fraud_Kerluke-Abshire|43.769037|-72.644082
320-74-6150|6011193149190586|Jeffrey|Wood|M|67165 Zimmerman Mews Apt. 849|Bethel|VT|05032|43.8195|-72.6528|2664|Solicitor|1967-11-15|531608037091|adults_50up_male_urban.json|69447cf1987b5520a5d7badc87560d8f|2005-11-14|23:01:02|1131989462|shopping_pos|911.77|1|fraud_Denesik and Sons|44.760035|-72.168006
320-74-6150|6011193149190586|Jeffrey|Wood|M|67165 Zimmerman Mews Apt. 849|Bethel|VT|05032|43.8195|-72.6528|2664|Solicitor|1967-11-15|531608037091|adults_50up_male_urban.json|6c7ef82a446f12c510db0b7ad7c53326|2005-11-13|19:22:34|1131889954|shopping_net|1056.38|1|fraud_Price Inc|44.309710|-72.310926
320-74-6150|6011193149190586|Jeffrey|Wood|M|67165 Zimmerman Mews Apt. 849|Bethel|VT|05032|43.8195|-72.6528|2664|Solicitor|1967-11-15|531608037091|adults_50up_male_urban.json|0f4131c379245829a9724a68be693908|2005-11-13|23:43:29|1131905609|misc_net|991.23|1|fraud_Kuphal-Predovic|43.149826|-72.801504
320-74-6150|6011193149190586|Jeffrey|Wood|M|67165 Zimmerman Mews Apt. 849|Bethel|VT|05032|43.8195|-72.6528|2664|Solicitor|1967-11-15|531608037091|adults_50up_male_urban.json|f349d5287771f8e5e7c3373522166934|2005-11-13|23:55:01|1131906301|misc_net|16.33|1|fraud_Tillman, Fritsch and Schmitt|43.224278|-71.758351
609-61-4772|564471349360|Brian|Walker|M|2102 Larson Views|Terre Haute|IN|47809|39.471|-87.4111|95238|Teacher, adult education|1937-06-16|317489104406|adults_50up_male_urban.json|c1a050e85dc49f3bc1f388655f80d39e|2005-09-09|05:48:18|1126225098|grocery_pos|338.73|1|fraud_Cole PLC|38.744077|-86.438365
609-61-4772|564471349360|Brian|Walker|M|2102 Larson Views|Terre Haute|IN|47809|39.471|-87.4111|95238|Teacher, adult education|1937-06-16|317489104406|adults_50up_male_urban.json|3a8fdc1de2b754c1ae4be823440bfd29|2005-09-09|11:54:57|1126247097|grocery_pos|303.13|1|fraud_Miller-Hauck|39.971827|-88.023354
609-61-4772|564471349360|Brian|Walker|M|2102 Larson Views|Terre Haute|IN|47809|39.471|-87.4111|95238|Teacher, adult education|1937-06-16|317489104406|adults_50up_male_urban.json|adbe6111e9edc454f1075c045c315689|2005-09-09|23:53:44|1126290224|grocery_pos|317.63|1|fraud_Heller, Gutmann and Zieme|39.729202|-86.567887
609-61-4772|564471349360|Brian|Walker|M|2102 Larson Views|Terre Haute|IN|47809|39.471|-87.4111|95238|Teacher, adult education|1937-06-16|317489104406|adults_50up_male_urban.json|a816453fcc7234cffa5a7c7c5960ef16|2005-09-10|22:50:39|1126372839|shopping_net|838.85|1|fraud_Lemke-Gutmann|38.811678|-87.248240
609-61-4772|564471349360|Brian|Walker|M|2102 Larson Views|Terre Haute|IN|47809|39.471|-87.4111|95238|Teacher, adult education|1937-06-16|317489104406|adults_50up_male_urban.json|a71b7cc91e93d411dbcfb5f4890ee360|2005-09-10|22:45:26|1126372526|shopping_net|1001.27|1|fraud_Terry-Huel|39.723467|-87.533507
609-61-4772|564471349360|Brian|Walker|M|2102 Larson Views|Terre Haute|IN|47809|39.471|-87.4111|95238|Teacher, adult education|1937-06-16|317489104406|adults_50up_male_urban.json|3b190b608c9dc28c906205688fc570d8|2005-09-10|22:54:21|1126373061|shopping_pos|930.98|1|fraud_Pfeffer and Sons|38.908580|-87.314922
609-61-4772|564471349360|Brian|Walker|M|2102 Larson Views|Terre Haute|IN|47809|39.471|-87.4111|95238|Teacher, adult education|1937-06-16|317489104406|adults_50up_male_urban.json|34e1434abf1316dc32e5ba8550b58d15|2005-09-10|22:32:58|1126371778|shopping_pos|960.87|1|fraud_Barrows PLC|39.718278|-87.374428
609-61-4772|564471349360|Brian|Walker|M|2102 Larson Views|Terre Haute|IN|47809|39.471|-87.4111|95238|Teacher, adult education|1937-06-16|317489104406|adults_50up_male_urban.json|26aeef4bf2b4f04a6362b5c6a4e34d0a|2005-09-10|20:22:09|1126363929|shopping_net|1013.66|1|fraud_Zboncak, Rowe and Murazik|39.114502|-87.542979
609-61-4772|564471349360|Brian|Walker|M|2102 Larson Views|Terre Haute|IN|47809|39.471|-87.4111|95238|Teacher, adult education|1937-06-16|317489104406|adults_50up_male_urban.json|c223979ed6cd504f7c6b83e83dcce1fe|2005-09-10|23:41:40|1126375900|shopping_pos|878.24|1|fraud_Pagac LLC|39.040373|-87.300858
