ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile
115-04-4507|4218196001337|Jonathan|Johnson|M|863 Lawrence Valleys|Boise|ID|83709|43.5741|-116.2941|255947|Accounting technician|1985-10-03|888022315787|adults_2550_male_urban.json
715-55-5575|4351161559407816183|Edward|Fuller|M|310 Kendra Common Apt. 164|Winnemucca|NV|89445|40.9664|-117.7467|16150|Professor Emeritus|1981-06-07|917558277935|adults_2550_male_urban.json
167-48-5821|4192832764832|Michael|Cameron|M|05641 Robin Port|Rancho Cucamonga|CA|91730|34.107|-117.5941|101719|International aid/development worker|1980-05-30|718172762479|adults_2550_male_urban.json
406-83-7518|4238849696532874|Brandon|Williams|M|26916 Carlson Mountain|East Elmhurst|NY|11369|40.7613|-73.8739|78303|Seismic interpreter|1959-12-26|947268892251|adults_50up_male_urban.json
697-93-1877|4514627048281480|Lisa|Hernandez|F|809 Burns Creek|Spartanburg|SC|29302|34.8939|-81.834|129573|Medical laboratory scientific officer|1976-05-22|888335239225|adults_2550_female_urban.json
246-08-3947|3517182278248964|Tracey|Hickman|F|465 Lam Mission|Houston|TX|77017|29.6863|-95.2555|2906700|Community arts worker|1966-06-18|245877882397|adults_50up_female_urban.json
347-03-9639|213193010310510|Jose|Ramirez|M|82997 Kristen Valley Suite 311|Las Vegas|NV|89138|36.1666|-115.3613|1417793|Plant breeder/geneticist|1972-03-06|465378164447|adults_50up_male_urban.json
479-94-0888|4065133387262473|Danielle|Leblanc|F|108 Tanya Terrace Apt. 267|Lansford|PA|18232|40.8314|-75.8828|3941|Quarry manager|1933-12-27|950105810049|adults_50up_female_urban.json
061-22-6210|630447468723|Cheryl|Robinson|F|805 Brendan Neck|Reading|PA|19608|40.3113|-76.0345|213013|Retail buyer|1981-08-23|940251608167|adults_2550_female_urban.json
162-08-8321|2222913619399092|Bradley|Sandoval|M|3534 Anderson Rue Suite 751|Westport|MA|02790|41.6211|-71.089|15717|Acupuncturist|1962-01-26|684868121383|adults_50up_male_urban.json
103-10-8809|4251354278496|Victoria|Roman|F|841 Joseph Coves|Bell|CA|90201|33.9767|-118.1689|101279|Surgeon|2002-02-26|297020387114|young_adults_female_urban.json
620-27-5618|4874016400529|Mandy|Green|F|680 Charles Spurs Apt. 805|Tracy|CA|95376|37.7383|-121.4345|106426|Television floor manager|1959-08-02|161286867170|adults_50up_female_urban.json
131-06-5051|345331586923222|Stanley|Johnson|M|3421 Brennan Walks Suite 337|South Lyon|MI|48178|42.4567|-83.659|29320|Maintenance engineer|1952-08-16|903253916954|adults_50up_male_urban.json
229-04-3165|6541458685014295|Tonya|Baker|F|655 Obrien Pass|Bronx|NY|10451|40.8222|-73.9217|1382480|Commercial art gallery manager|1953-09-29|989496879843|adults_50up_female_urban.json
195-33-0728|3508835615951480|Eric|Ortiz|M|482 Robert Light Apt. 994|Dover|DE|19901|39.1564|-75.4955|69187|Optician, dispensing|1988-08-14|917181406434|adults_2550_male_urban.json
312-37-3444|6577738721489511|Robert|Potter|M|32003 Carr Trafficway Apt. 769|Fontana|CA|92337|34.0498|-117.4706|221665|Engineer, broadcasting (operations)|1992-01-06|767589450881|adults_2550_male_urban.json
507-52-3998|4163287083172781|William|Larson|M|868 Merritt Summit Suite 743|Bethel|CT|06801|41.3813|-73.4008|18581|Health and safety inspector|1977-01-23|857987636625|adults_2550_male_urban.json
497-81-3920|4143455812236231660|Erin|Owens|F|66909 Woods Knoll|Arlington|VA|22207|38.9033|-77.1263|207410|Hydrogeologist|1995-09-26|428437913341|adults_2550_female_urban.json
552-96-8948|3573467065627293|Joseph|Meadows|M|62720 Gray Forest|Tiffin|OH|44883|41.1238|-83.1844|29413|Programme researcher, broadcasting/film/video|1969-04-04|370770979513|adults_50up_male_urban.json
285-97-6907|4708053100330923275|Michael|Elliott|M|4529 Kimberly Estates|Peoria|AZ|85382|33.6308|-112.2072|158093|Insurance risk surveyor|1987-11-24|636119440405|adults_2550_male_urban.json
320-74-6150|6011193149190586|Jeffrey|Wood|M|67165 Zimmerman Mews Apt. 849|Menomonee Falls|WI|53051|43.1602|-88.1128|35651|Solicitor|1979-11-15|531608037091|adults_2550_male_urban.json
447-94-9708|4314737996507527356|Robert|Peterson|M|083 John Lodge Suite 837|Canton|OH|44703|40.8098|-81.3814|192805|Recycling officer|1991-10-26|869508288813|adults_2550_male_urban.json
