ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
874-89-3910|4122572076502411|Carolyn|Wolf|F|579 Tracy Gateway|Wardell|MO|63879|36.3478|-89.8181|773|Public house manager|2005-05-22|47714449557|young_adults_female_rural.json|20de644fae43b2618de5fa3067672145|2005-11-17|01:28:51|1132171131|gas_transport|8.71|1|fraud_Erdman-Kertzmann|35.943556|-90.741712
874-89-3910|4122572076502411|Carolyn|Wolf|F|579 Tracy Gateway|Wardell|MO|63879|36.3478|-89.8181|773|Public house manager|2005-05-22|47714449557|young_adults_female_rural.json|09f79d87b96cadacb75be87a39057e54|2005-11-18|00:20:39|1132253439|grocery_pos|275.60|1|fraud_Moen, Reinger and Murphy|35.503507|-89.087162
874-89-3910|4122572076502411|Carolyn|Wolf|F|579 Tracy Gateway|Wardell|MO|63879|36.3478|-89.8181|773|Public house manager|2005-05-22|47714449557|young_adults_female_rural.json|a59d1a39187061c807dcc457f610aac4|2005-11-17|03:19:18|1132177758|grocery_pos|296.37|1|fraud_Goldner, Kovacek and Abbott|37.168914|-89.145184
874-89-3910|4122572076502411|Carolyn|Wolf|F|579 Tracy Gateway|Wardell|MO|63879|36.3478|-89.8181|773|Public house manager|2005-05-22|47714449557|young_adults_female_rural.json|263dbeca8be843cb5021b92599472761|2005-11-18|22:12:09|1132332129|shopping_net|788.66|1|fraud_Auer-West|36.407526|-90.160518
874-89-3910|4122572076502411|Carolyn|Wolf|F|579 Tracy Gateway|Wardell|MO|63879|36.3478|-89.8181|773|Public house manager|2005-05-22|47714449557|young_adults_female_rural.json|6fad7f55c6f2fc00a151b172b364153d|2005-11-18|22:37:40|1132333660|misc_net|650.22|1|fraud_Koelpin and Sons|35.843184|-89.048266
874-89-3910|4122572076502411|Carolyn|Wolf|F|579 Tracy Gateway|Wardell|MO|63879|36.3478|-89.8181|773|Public house manager|2005-05-22|47714449557|young_adults_female_rural.json|9d316ea59621560cf5309511dafb1307|2005-11-18|23:25:23|1132336523|misc_net|1034.64|1|fraud_Herman, Treutel and Dickens|36.009440|-89.465970
874-89-3910|4122572076502411|Carolyn|Wolf|F|579 Tracy Gateway|Wardell|MO|63879|36.3478|-89.8181|773|Public house manager|2005-05-22|47714449557|young_adults_female_rural.json|f23ef84ff3eaa62608c20bff7975bf12|2005-11-18|16:33:56|1132311836|shopping_net|1366.33|1|fraud_Altenwerth, Cartwright and Koss|37.184444|-89.714937
874-89-3910|4122572076502411|Carolyn|Wolf|F|579 Tracy Gateway|Wardell|MO|63879|36.3478|-89.8181|773|Public house manager|2005-05-22|47714449557|young_adults_female_rural.json|61e9f01d3162ba82a2be4213e3c8c7d8|2005-11-18|22:06:39|1132331799|shopping_net|1030.31|1|fraud_Schmidt and Sons|36.849229|-89.034495
874-89-3910|4122572076502411|Carolyn|Wolf|F|579 Tracy Gateway|Wardell|MO|63879|36.3478|-89.8181|773|Public house manager|2005-05-22|47714449557|young_adults_female_rural.json|44ddf15fd184bf1e1c3e2e4d3d3c6350|2005-05-18|01:24:28|1116359668|gas_transport|61.67|0|fraud_Emard Inc|36.578381|-89.115523
874-89-3910|4122572076502411|Carolyn|Wolf|F|579 Tracy Gateway|Wardell|MO|63879|36.3478|-89.8181|773|Public house manager|2005-05-22|47714449557|young_adults_female_rural.json|88d6a04abf8c7412e6bc538854850b12|2005-06-07|07:13:41|1118108621|grocery_net|43.20|0|fraud_Collier Inc|35.962072|-89.769056
