ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
029-15-6576|3599490133344378|Thomas|Barnes|M|348 Juan Views Suite 101|Hope|ID|83836|48.2444|-116.2795|1033|Politician's assistant|2006-06-08|659250094381|young_adults_male_rural.json|60c0ed28d162cad504e9e0dcb4374c41|2005-05-21|02:03:22|1116621202|gas_transport|7.58|1|fraud_Ledner-Pfannerstill|47.473130|-117.048960
029-15-6576|3599490133344378|Thomas|Barnes|M|348 Juan Views Suite 101|Hope|ID|83836|48.2444|-116.2795|1033|Politician's assistant|2006-06-08|659250094381|young_adults_male_rural.json|e51bb24e83573b85058175956b658844|2005-05-21|02:00:24|1116621024|gas_transport|7.04|1|fraud_Greenholt, Jacobi and Gleason|48.138721|-116.204806
029-15-6576|3599490133344378|Thomas|Barnes|M|348 Juan Views Suite 101|Hope|ID|83836|48.2444|-116.2795|1033|Politician's assistant|2006-06-08|659250094381|young_adults_male_rural.json|9d1d88222051e7925448e1432db4591a|2005-05-21|02:10:23|1116621623|grocery_pos|10.48|1|fraud_Kovacek, Dibbert and Ondricka|47.723775|-116.680184
029-15-6576|3599490133344378|Thomas|Barnes|M|348 Juan Views Suite 101|Hope|ID|83836|48.2444|-116.2795|1033|Politician's assistant|2006-06-08|659250094381|young_adults_male_rural.json|adc7177dbbe1f81bf2a120e1da0211b7|2005-05-21|01:35:45|1116619545|grocery_net|307.39|1|fraud_Swift, Bradtke and Marquardt|47.892737|-115.391436
029-15-6576|3599490133344378|Thomas|Barnes|M|348 Juan Views Suite 101|Hope|ID|83836|48.2444|-116.2795|1033|Politician's assistant|2006-06-08|659250094381|young_adults_male_rural.json|f8cb963aaf58239ddd33f351a806af6f|2005-05-22|22:53:22|1116782602|shopping_pos|982.79|1|fraud_Hermann and Sons|47.361943|-115.964483
029-15-6576|3599490133344378|Thomas|Barnes|M|348 Juan Views Suite 101|Hope|ID|83836|48.2444|-116.2795|1033|Politician's assistant|2006-06-08|659250094381|young_adults_male_rural.json|879e69dc80487113b2a4a3108b2874a8|2005-05-22|22:53:31|1116782611|shopping_pos|1224.35|1|fraud_Lesch Ltd|49.165438|-116.542057
029-15-6576|3599490133344378|Thomas|Barnes|M|348 Juan Views Suite 101|Hope|ID|83836|48.2444|-116.2795|1033|Politician's assistant|2006-06-08|659250094381|young_adults_male_rural.json|668b85ec562dae9f6a6067c6be2da511|2005-05-22|22:18:19|1116780499|shopping_net|1094.15|1|fraud_Kuhic, Bins and Pfeffer|48.934755|-115.715998
029-15-6576|3599490133344378|Thomas|Barnes|M|348 Juan Views Suite 101|Hope|ID|83836|48.2444|-116.2795|1033|Politician's assistant|2006-06-08|659250094381|young_adults_male_rural.json|da0c791d49e57772ac379e6d63873d1f|2005-04-28|02:26:09|1114635369|gas_transport|43.97|0|fraud_Kutch LLC|49.206173|-116.153707
029-15-6576|3599490133344378|Thomas|Barnes|M|348 Juan Views Suite 101|Hope|ID|83836|48.2444|-116.2795|1033|Politician's assistant|2006-06-08|659250094381|young_adults_male_rural.json|1442f3eee1479f0377ecf18f8f5e5769|2005-04-30|06:23:44|1114822424|gas_transport|58.17|0|fraud_Prohaska-Murray|48.022498|-115.314025
029-15-6576|3599490133344378|Thomas|Barnes|M|348 Juan Views Suite 101|Hope|ID|83836|48.2444|-116.2795|1033|Politician's assistant|2006-06-08|659250094381|young_adults_male_rural.json|2c9f0b359d9f3b19838cd357452d04a2|2005-04-28|04:25:10|1114642510|gas_transport|55.49|0|fraud_Tillman, Dickinson and Labadie|48.908201|-115.651951
029-15-6576|3599490133344378|Thomas|Barnes|M|348 Juan Views Suite 101|Hope|ID|83836|48.2444|-116.2795|1033|Politician's assistant|2006-06-08|659250094381|young_adults_male_rural.json|1c55401a8c74a006bf54a05974652c10|2005-05-26|06:31:10|1117069270|gas_transport|57.67|0|fraud_Cummings LLC|48.239867|-117.279437
029-15-6576|3599490133344378|Thomas|Barnes|M|348 Juan Views Suite 101|Hope|ID|83836|48.2444|-116.2795|1033|Politician's assistant|2006-06-08|659250094381|young_adults_male_rural.json|84e0cb673826a0264dd2786d4faa039f|2005-04-30|02:43:00|1114809180|gas_transport|70.54|0|fraud_Christiansen, Goyette and Schamberger|47.800551|-116.311073
029-15-6576|3599490133344378|Thomas|Barnes|M|348 Juan Views Suite 101|Hope|ID|83836|48.2444|-116.2795|1033|Politician's assistant|2006-06-08|659250094381|young_adults_male_rural.json|876331e367cda95dc80e65289d1e5678|2005-06-17|00:32:32|1118948552|grocery_net|53.70|0|fraud_Harris, Gusikowski and Heaney|49.208893|-117.258249
029-15-6576|3599490133344378|Thomas|Barnes|M|348 Juan Views Suite 101|Hope|ID|83836|48.2444|-116.2795|1033|Politician's assistant|2006-06-08|659250094381|young_adults_male_rural.json|02e7e3647724667175e81fefa6e4de09|2005-06-18|06:52:56|1119057776|grocery_net|51.35|0|fraud_Emmerich-Luettgen|49.053794|-115.441942
029-15-6576|3599490133344378|Thomas|Barnes|M|348 Juan Views Suite 101|Hope|ID|83836|48.2444|-116.2795|1033|Politician's assistant|2006-06-08|659250094381|young_adults_male_rural.json|aaead0b3c1e51cfd0ef7fa430d614b33|2005-05-28|00:32:57|1117220577|gas_transport|52.50|0|fraud_Connelly, Reichert and Fritsch|47.692238|-115.484048
029-15-6576|3599490133344378|Thomas|Barnes|M|348 Juan Views Suite 101|Hope|ID|83836|48.2444|-116.2795|1033|Politician's assistant|2006-06-08|659250094381|young_adults_male_rural.json|9696d56f3781ca335515146060c5b193|2005-06-03|00:36:02|1117739162|grocery_net|67.01|0|fraud_Harris, Gusikowski and Heaney|49.066085|-116.668714
