ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
731-58-4678|180091776334279|Christopher|Lee|M|217 Klein Shoal Apt. 196|Edinburg|TX|78542|26.4661|-98.0695|136507|Fine artist|2006-03-30|46500329163|young_adults_male_urban.json|c39541293204aac631f54e2251bf16a3|2005-06-25|01:10:36|1119642036|gas_transport|6.18|1|fraud_Kutch, Hermiston and Farrell|27.322428|-97.567190
731-58-4678|180091776334279|Christopher|Lee|M|217 Klein Shoal Apt. 196|Edinburg|TX|78542|26.4661|-98.0695|136507|Fine artist|2006-03-30|46500329163|young_adults_male_urban.json|78a3945609c8763527c768b4550b03cc|2005-06-25|02:54:42|1119648282|gas_transport|9.88|1|fraud_Schaefer, Maggio and Daugherty|25.866201|-98.233751
731-58-4678|180091776334279|Christopher|Lee|M|217 Klein Shoal Apt. 196|Edinburg|TX|78542|26.4661|-98.0695|136507|Fine artist|2006-03-30|46500329163|young_adults_male_urban.json|20036f02e943fdd033deb7d420da08d8|2005-06-25|01:01:15|1119641475|grocery_pos|7.59|1|fraud_Bailey-Morar|27.412626|-98.669937
731-58-4678|180091776334279|Christopher|Lee|M|217 Klein Shoal Apt. 196|Edinburg|TX|78542|26.4661|-98.0695|136507|Fine artist|2006-03-30|46500329163|young_adults_male_urban.json|744efab2b7189ff46e2a2ffb31eecce2|2005-06-25|01:38:21|1119643701|grocery_pos|318.90|1|fraud_Rau and Sons|26.624383|-97.378923
731-58-4678|180091776334279|Christopher|Lee|M|217 Klein Shoal Apt. 196|Edinburg|TX|78542|26.4661|-98.0695|136507|Fine artist|2006-03-30|46500329163|young_adults_male_urban.json|68103ce83003998db3b46d02d7360c7a|2005-06-25|00:41:48|1119640308|grocery_pos|268.71|1|fraud_Casper, Hand and Zulauf|25.856851|-97.995424
731-58-4678|180091776334279|Christopher|Lee|M|217 Klein Shoal Apt. 196|Edinburg|TX|78542|26.4661|-98.0695|136507|Fine artist|2006-03-30|46500329163|young_adults_male_urban.json|c462e39de4f5fe5dabec19d8fe7d434a|2005-06-25|00:34:50|1119639890|grocery_pos|324.54|1|fraud_Rau and Sons|25.677452|-98.978382
731-58-4678|180091776334279|Christopher|Lee|M|217 Klein Shoal Apt. 196|Edinburg|TX|78542|26.4661|-98.0695|136507|Fine artist|2006-03-30|46500329163|young_adults_male_urban.json|bbbed17a59f96336762b1cf489b1dc8f|2005-06-25|07:52:04|1119666124|gas_transport|307.99|1|fraud_Raynor, Feest and Miller|25.980041|-98.463967
731-58-4678|180091776334279|Christopher|Lee|M|217 Klein Shoal Apt. 196|Edinburg|TX|78542|26.4661|-98.0695|136507|Fine artist|2006-03-30|46500329163|young_adults_male_urban.json|43e482bee3fe0e18006c057e092a3728|2005-06-25|01:09:28|1119641968|misc_net|297.18|1|fraud_Bednar Group|26.890377|-97.604108
731-58-4678|180091776334279|Christopher|Lee|M|217 Klein Shoal Apt. 196|Edinburg|TX|78542|26.4661|-98.0695|136507|Fine artist|2006-03-30|46500329163|young_adults_male_urban.json|fd3136ecf2a1f63b6c2766750bc0dbdd|2005-06-25|02:05:15|1119645315|grocery_pos|300.54|1|fraud_Rau and Sons|27.232995|-97.562580
731-58-4678|180091776334279|Christopher|Lee|M|217 Klein Shoal Apt. 196|Edinburg|TX|78542|26.4661|-98.0695|136507|Fine artist|2006-03-30|46500329163|young_adults_male_urban.json|73eb42b73912da7f558acb7c101ddb92|2005-06-25|00:56:46|1119641206|grocery_pos|794.31|1|fraud_Goldner, Kovacek and Abbott|26.342717|-98.548584
